Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;;General;Variación trimestral;2025T4;1,8
Nacional;;General;Variación trimestral;2025T3;2,9
Nacional;;General;Variación trimestral;2025T2;4,0
Nacional;;General;Variación trimestral;2025T1;3,5
Nacional;;General;Variación trimestral;2024T4;1,8
Nacional;;General;Variación trimestral;2024T3;2,8
Nacional;;General;Variación trimestral;2024T2;3,6
Nacional;;General;Variación trimestral;2024T1;2,6
Nacional;;General;Variación trimestral;2023T4;-1,1
Nacional;;General;Variación trimestral;2023T3;2,5
Nacional;;General;Variación trimestral;2023T2;2,1
Nacional;;General;Variación trimestral;2023T1;0,6
Nacional;;General;Variación trimestral;2022T4;-0,8
Nacional;;General;Variación trimestral;2022T3;1,7
Nacional;;General;Variación trimestral;2022T2;1,9
Nacional;;General;Variación trimestral;2022T1;2,6
Nacional;;General;Variación trimestral;2021T4;1,2
Nacional;;General;Variación trimestral;2021T3;2,1
Nacional;;General;Variación trimestral;2021T2;2,4
Nacional;;General;Variación trimestral;2021T1;0,5
Nacional;;General;Variación trimestral;2020T4;-0,8
Nacional;;General;Variación trimestral;2020T3;1,1
Nacional;;General;Variación trimestral;2020T2;0,1
Nacional;;General;Variación trimestral;2020T1;1,1
Nacional;;General;Variación trimestral;2019T4;-0,6
Nacional;;General;Variación trimestral;2019T3;1,6
Nacional;;General;Variación trimestral;2019T2;1,2
Nacional;;General;Variación trimestral;2019T1;1,5
Nacional;01 Andalucía;General;Variación trimestral;2025T4;1,9
Nacional;01 Andalucía;General;Variación trimestral;2025T3;2,7
Nacional;01 Andalucía;General;Variación trimestral;2025T2;3,9
Nacional;01 Andalucía;General;Variación trimestral;2025T1;3,3
Nacional;01 Andalucía;General;Variación trimestral;2024T4;2,0
Nacional;01 Andalucía;General;Variación trimestral;2024T3;3,8
Nacional;01 Andalucía;General;Variación trimestral;2024T2;4,3
Nacional;01 Andalucía;General;Variación trimestral;2024T1;2,7
Nacional;01 Andalucía;General;Variación trimestral;2023T4;-0,6
Nacional;01 Andalucía;General;Variación trimestral;2023T3;2,9
Nacional;01 Andalucía;General;Variación trimestral;2023T2;2,7
Nacional;01 Andalucía;General;Variación trimestral;2023T1;0,2
Nacional;01 Andalucía;General;Variación trimestral;2022T4;-0,1
Nacional;01 Andalucía;General;Variación trimestral;2022T3;1,6
Nacional;01 Andalucía;General;Variación trimestral;2022T2;2,4
Nacional;01 Andalucía;General;Variación trimestral;2022T1;2,4
Nacional;01 Andalucía;General;Variación trimestral;2021T4;1,6
Nacional;01 Andalucía;General;Variación trimestral;2021T3;3,4
Nacional;01 Andalucía;General;Variación trimestral;2021T2;3,0
Nacional;01 Andalucía;General;Variación trimestral;2021T1;-0,2
Nacional;01 Andalucía;General;Variación trimestral;2020T4;-0,2
Nacional;01 Andalucía;General;Variación trimestral;2020T3;1,0
Nacional;01 Andalucía;General;Variación trimestral;2020T2;0,1
Nacional;01 Andalucía;General;Variación trimestral;2020T1;0,7
Nacional;01 Andalucía;General;Variación trimestral;2019T4;-0,7
Nacional;01 Andalucía;General;Variación trimestral;2019T3;2,1
Nacional;01 Andalucía;General;Variación trimestral;2019T2;1,9
Nacional;01 Andalucía;General;Variación trimestral;2019T1;0,8
Nacional;02 Aragón;General;Variación trimestral;2025T4;1,4
Nacional;02 Aragón;General;Variación trimestral;2025T3;3,6
Nacional;02 Aragón;General;Variación trimestral;2025T2;4,8
Nacional;02 Aragón;General;Variación trimestral;2025T1;4,0
Nacional;02 Aragón;General;Variación trimestral;2024T4;1,6
Nacional;02 Aragón;General;Variación trimestral;2024T3;2,8
Nacional;02 Aragón;General;Variación trimestral;2024T2;4,3
Nacional;02 Aragón;General;Variación trimestral;2024T1;4,1
Nacional;02 Aragón;General;Variación trimestral;2023T4;-1,2
Nacional;02 Aragón;General;Variación trimestral;2023T3;2,4
Nacional;02 Aragón;General;Variación trimestral;2023T2;1,6
Nacional;02 Aragón;General;Variación trimestral;2023T1;1,4
Nacional;02 Aragón;General;Variación trimestral;2022T4;-0,7
Nacional;02 Aragón;General;Variación trimestral;2022T3;1,1
Nacional;02 Aragón;General;Variación trimestral;2022T2;1,4
Nacional;02 Aragón;General;Variación trimestral;2022T1;2,5
Nacional;02 Aragón;General;Variación trimestral;2021T4;1,1
Nacional;02 Aragón;General;Variación trimestral;2021T3;2,4
Nacional;02 Aragón;General;Variación trimestral;2021T2;1,6
Nacional;02 Aragón;General;Variación trimestral;2021T1;1,2
Nacional;02 Aragón;General;Variación trimestral;2020T4;-0,7
Nacional;02 Aragón;General;Variación trimestral;2020T3;0,4
Nacional;02 Aragón;General;Variación trimestral;2020T2;1,0
Nacional;02 Aragón;General;Variación trimestral;2020T1;0,4
Nacional;02 Aragón;General;Variación trimestral;2019T4;0,7
Nacional;02 Aragón;General;Variación trimestral;2019T3;1,0
Nacional;02 Aragón;General;Variación trimestral;2019T2;1,6
Nacional;02 Aragón;General;Variación trimestral;2019T1;2,2
