Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2025;96.770.515
Total;Dato base;2024;93.759.297
Total;Dato base;2023;85.169.050
Total;Dato base;2022;71.659.281
Total;Dato base;2021;31.180.802
Total;Dato base;2020;18.933.103
Total;Dato base;2019;83.509.153
Total;Dato base;2018;82.808.413
Total;Dato base;2017;81.868.522
Total;Dato base;2016;75.315.008
01 Andalucía;Dato base;2025;14.466.171
01 Andalucía;Dato base;2024;13.573.242
01 Andalucía;Dato base;2023;12.190.565
01 Andalucía;Dato base;2022;10.009.890
01 Andalucía;Dato base;2021;4.248.340
01 Andalucía;Dato base;2020;2.700.613
01 Andalucía;Dato base;2019;12.023.153
01 Andalucía;Dato base;2018;11.681.256
01 Andalucía;Dato base;2017;11.518.262
01 Andalucía;Dato base;2016;10.589.642
02 Aragón;Dato base;2025;687.341
02 Aragón;Dato base;2024;500.792
02 Aragón;Dato base;2023;426.796
02 Aragón;Dato base;2022;385.175
02 Aragón;Dato base;2021;215.884
02 Aragón;Dato base;2020;172.084
02 Aragón;Dato base;2019;544.761
02 Aragón;Dato base;2018;545.530
02 Aragón;Dato base;2017;562.352
02 Aragón;Dato base;2016;644.516
03 Asturias, Principado de;Dato base;2025;372.292
03 Asturias, Principado de;Dato base;2024;331.820
03 Asturias, Principado de;Dato base;2023;375.560
03 Asturias, Principado de;Dato base;2022;277.267
03 Asturias, Principado de;Dato base;2021;161.462
03 Asturias, Principado de;Dato base;2020;92.222
03 Asturias, Principado de;Dato base;2019;317.860
03 Asturias, Principado de;Dato base;2018;299.357
03 Asturias, Principado de;Dato base;2017;294.129
03 Asturias, Principado de;Dato base;2016;277.989
04 Balears, Illes;Dato base;2025;15.708.921
04 Balears, Illes;Dato base;2024;15.306.313
04 Balears, Illes;Dato base;2023;14.424.512
04 Balears, Illes;Dato base;2022;13.203.885
04 Balears, Illes;Dato base;2021;6.324.711
04 Balears, Illes;Dato base;2020;1.721.123
04 Balears, Illes;Dato base;2019;13.679.781
04 Balears, Illes;Dato base;2018;13.851.598
04 Balears, Illes;Dato base;2017;13.792.296
04 Balears, Illes;Dato base;2016;12.997.549
05 Canarias;Dato base;2025;15.691.444
05 Canarias;Dato base;2024;15.227.841
05 Canarias;Dato base;2023;13.950.687
05 Canarias;Dato base;2022;12.328.012
05 Canarias;Dato base;2021;5.258.729
05 Canarias;Dato base;2020;3.787.228
05 Canarias;Dato base;2019;13.146.863
05 Canarias;Dato base;2018;13.752.022
05 Canarias;Dato base;2017;14.214.222
05 Canarias;Dato base;2016;13.259.567
06 Cantabria;Dato base;2025;432.838
06 Cantabria;Dato base;2024;467.781
06 Cantabria;Dato base;2023;434.110
06 Cantabria;Dato base;2022;323.694
06 Cantabria;Dato base;2021;159.960
06 Cantabria;Dato base;2020;106.392
06 Cantabria;Dato base;2019;392.516
06 Cantabria;Dato base;2018;381.181
06 Cantabria;Dato base;2017;414.489
06 Cantabria;Dato base;2016;378.435
07 Castilla y León;Dato base;2025;1.462.307
07 Castilla y León;Dato base;2024;1.340.659
07 Castilla y León;Dato base;2023;1.217.204
07 Castilla y León;Dato base;2022;1.016.508
07 Castilla y León;Dato base;2021;499.370
07 Castilla y León;Dato base;2020;430.405
07 Castilla y León;Dato base;2019;1.286.198
07 Castilla y León;Dato base;2018;1.374.464
07 Castilla y León;Dato base;2017;1.458.546
07 Castilla y León;Dato base;2016;1.225.331
08 Castilla - La Mancha;Dato base;2025;235.062
08 Castilla - La Mancha;Dato base;2024;235.716
08 Castilla - La Mancha;Dato base;2023;217.062
08 Castilla - La Mancha;Dato base;2022;200.063
08 Castilla - La Mancha;Dato base;2021;98.134
08 Castilla - La Mancha;Dato base;2020;95.887
08 Castilla - La Mancha;Dato base;2019;262.044
08 Castilla - La Mancha;Dato base;2018;235.011
08 Castilla - La Mancha;Dato base;2017;226.221
08 Castilla - La Mancha;Dato base;2016;222.651
09 Cataluña;Dato base;2025;20.055.316
09 Cataluña;Dato base;2024;19.940.218
09 Cataluña;Dato base;2023;18.182.612
09 Cataluña;Dato base;2022;14.852.042
09 Cataluña;Dato base;2021;5.787.837
09 Cataluña;Dato base;2020;3.870.259
09 Cataluña;Dato base;2019;19.375.152
09 Cataluña;Dato base;2018;19.196.344
09 Cataluña;Dato base;2017;19.118.421
09 Cataluña;Dato base;2016;18.139.177
10 Comunitat Valenciana;Dato base;2025;12.422.659
10 Comunitat Valenciana;Dato base;2024;11.914.970
10 Comunitat Valenciana;Dato base;2023;10.474.167
10 Comunitat Valenciana;Dato base;2022;8.616.445
10 Comunitat Valenciana;Dato base;2021;4.019.766
10 Comunitat Valenciana;Dato base;2020;2.542.758
10 Comunitat Valenciana;Dato base;2019;9.535.496
10 Comunitat Valenciana;Dato base;2018;9.206.908
10 Comunitat Valenciana;Dato base;2017;8.925.959
10 Comunitat Valenciana;Dato base;2016;7.731.770
11 Extremadura;Dato base;2025;202.147
11 Extremadura;Dato base;2024;240.209
11 Extremadura;Dato base;2023;280.110
11 Extremadura;Dato base;2022;319.504
11 Extremadura;Dato base;2021;218.790
11 Extremadura;Dato base;2020;156.169
11 Extremadura;Dato base;2019;469.398
11 Extremadura;Dato base;2018;468.286
11 Extremadura;Dato base;2017;380.914
11 Extremadura;Dato base;2016;261.453
12 Galicia;Dato base;2025;1.888.917
12 Galicia;Dato base;2024;1.832.907
12 Galicia;Dato base;2023;1.616.929
12 Galicia;Dato base;2022;1.271.894
12 Galicia;Dato base;2021;772.452
12 Galicia;Dato base;2020;540.004
12 Galicia;Dato base;2019;1.624.711
12 Galicia;Dato base;2018;1.512.511
12 Galicia;Dato base;2017;1.291.086
12 Galicia;Dato base;2016;1.035.147
13 Madrid, Comunidad de;Dato base;2025;9.111.879
13 Madrid, Comunidad de;Dato base;2024;8.824.800
13 Madrid, Comunidad de;Dato base;2023;7.846.067
13 Madrid, Comunidad de;Dato base;2022;6.048.182
13 Madrid, Comunidad de;Dato base;2021;2.177.068
13 Madrid, Comunidad de;Dato base;2020;1.718.335
13 Madrid, Comunidad de;Dato base;2019;7.640.980
13 Madrid, Comunidad de;Dato base;2018;7.139.775
13 Madrid, Comunidad de;Dato base;2017;6.699.785
13 Madrid, Comunidad de;Dato base;2016;5.783.137
14 Murcia, Región de;Dato base;2025;1.218.056
14 Murcia, Región de;Dato base;2024;1.144.121
14 Murcia, Región de;Dato base;2023;976.513
14 Murcia, Región de;Dato base;2022;821.232
