Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Provincia de destino;Concepto turístico;Periodo;Total
Total;;;;Total Nacional;Turistas;2025M12;6.383.699
Total;;;;Total Nacional;Turistas;2025M11;6.944.990
Total;;;;Total Nacional;Turistas;2025M10;9.960.294
Total;;;;Total Nacional;Turistas;2025M09;10.333.180
Total;;;;Total Nacional;Turistas;2025M08;12.662.896
Total;;;;Total Nacional;Turistas;2025M07;11.659.193
Total;;;;Total Nacional;Turistas;2025M06;10.048.365
Total;;;;Total Nacional;Turistas;2025M05;10.074.526
Total;;;;Total Nacional;Turistas;2025M04;8.952.093
Total;;;;Total Nacional;Turistas;2025M03;7.453.143
Total;;;;Total Nacional;Turistas;2025M02;6.060.415
Total;;;;Total Nacional;Turistas;2025M01;6.057.347
Total;;;;Total Nacional;Turistas;2024M12;5.956.465
Total;;;;Total Nacional;Turistas;2024M11;6.459.762
Total;;;;Total Nacional;Turistas;2024M10;9.590.909
Total;;;;Total Nacional;Turistas;2024M09;9.991.661
Total;;;;Total Nacional;Turistas;2024M08;11.912.628
Total;;;;Total Nacional;Turistas;2024M07;11.327.590
Total;;;;Total Nacional;Turistas;2024M06;9.662.925
Total;;;;Total Nacional;Turistas;2024M05;9.572.426
Total;;;;Total Nacional;Turistas;2024M04;8.312.924
Total;;;;Total Nacional;Turistas;2024M03;6.952.477
Total;;;;Total Nacional;Turistas;2024M02;5.621.982
Total;;;;Total Nacional;Turistas;2024M01;5.425.411
Total;;;;Total Nacional;Turistas;2023M12;5.710.153
Total;;;;Total Nacional;Turistas;2023M11;5.707.346
Total;;;;Total Nacional;Turistas;2023M10;8.899.883
Total;;;;Total Nacional;Turistas;2023M09;9.415.601
Total;;;;Total Nacional;Turistas;2023M08;11.210.440
Total;;;;Total Nacional;Turistas;2023M07;10.394.305
Total;;;;Total Nacional;Turistas;2023M06;8.298.322
Total;;;;Total Nacional;Turistas;2023M05;8.114.596
Total;;;;Total Nacional;Turistas;2023M04;7.151.712
Total;;;;Total Nacional;Turistas;2023M03;5.524.605
Total;;;;Total Nacional;Turistas;2023M02;4.410.328
Total;;;;Total Nacional;Turistas;2023M01;4.535.874
Total;;;;Total Nacional;Turistas;2022M12;4.353.314
Total;;;;Total Nacional;Turistas;2022M11;4.981.559
Total;;;;Total Nacional;Turistas;2022M10;7.366.319
Total;;;;Total Nacional;Turistas;2022M09;7.837.403
Total;;;;Total Nacional;Turistas;2022M08;9.022.515
Total;;;;Total Nacional;Turistas;2022M07;9.007.335
Total;;;;Total Nacional;Turistas;2022M06;7.524.339
Total;;;;Total Nacional;Turistas;2022M05;7.242.394
Total;;;;Total Nacional;Turistas;2022M04;6.318.408
Total;;;;Total Nacional;Turistas;2022M03;4.500.123
Total;;;;Total Nacional;Turistas;2022M02;3.429.476
Total;;;;Total Nacional;Turistas;2022M01;3.224.752
Total;;;;Total Nacional;Turistas;2021M12;3.189.032
Total;;;;Total Nacional;Turistas;2021M11;4.080.469
Total;;;;Total Nacional;Turistas;2021M10;5.185.949
Total;;;;Total Nacional;Turistas;2021M09;4.883.638
Total;;;;Total Nacional;Turistas;2021M08;6.063.583
Total;;;;Total Nacional;Turistas;2021M07;4.652.270
Total;;;;Total Nacional;Turistas;2021M06;2.826.162
Total;;;;Total Nacional;Turistas;2021M05;2.185.524
Total;;;;Total Nacional;Turistas;2021M04;1.713.947
Total;;;;Total Nacional;Turistas;2021M03;1.578.904
Total;;;;Total Nacional;Turistas;2021M02;1.313.299
Total;;;;Total Nacional;Turistas;2021M01;1.480.557
Total;;;;Total Nacional;Turistas;2020M12;1.861.825
Total;;;;Total Nacional;Turistas;2020M11;1.634.421
Total;;;;Total Nacional;Turistas;2020M10;2.067.138
Total;;;;Total Nacional;Turistas;2020M09;2.257.623
Total;;;;Total Nacional;Turistas;2020M08;3.888.753
Total;;;;Total Nacional;Turistas;2020M07;3.153.917
Total;;;;Total Nacional;Turistas;2020M06;1.285.909
Total;;;;Total Nacional;Turistas;2020M05;1.029.094
Total;;;;Total Nacional;Turistas;2020M04;897.381
Total;;;;Total Nacional;Turistas;2020M03;3.492.000
Total;;;;Total Nacional;Turistas;2020M02;4.609.566
Total;;;;Total Nacional;Turistas;2020M01;4.792.334
Total;;;;Total Nacional;Turistas;2019M12;4.414.159
Total;;;;Total Nacional;Turistas;2019M11;5.146.506
Total;;;;Total Nacional;Turistas;2019M10;7.549.115
Total;;;;Total Nacional;Turistas;2019M09;8.350.821
Total;;;;Total Nacional;Turistas;2019M08;10.759.089
Total;;;;Total Nacional;Turistas;2019M07;9.155.467
Total;;;;Albacete;Turistas;2025M12;18.764
Total;;;;Albacete;Turistas;2025M11;16.425
Total;;;;Albacete;Turistas;2025M10;18.610
Total;;;;Albacete;Turistas;2025M09;20.656
Total;;;;Albacete;Turistas;2025M08;24.431
Total;;;;Albacete;Turistas;2025M07;21.730
Total;;;;Albacete;Turistas;2025M06;16.780
Total;;;;Albacete;Turistas;2025M05;19.276
Total;;;;Albacete;Turistas;2025M04;17.416
Total;;;;Albacete;Turistas;2025M03;15.782
Total;;;;Albacete;Turistas;2025M02;14.170
Total;;;;Albacete;Turistas;2025M01;15.948
Total;;;;Albacete;Turistas;2024M12;13.500
Total;;;;Albacete;Turistas;2024M11;12.760
Total;;;;Albacete;Turistas;2024M10;18.259
Total;;;;Albacete;Turistas;2024M09;19.484
Total;;;;Albacete;Turistas;2024M08;19.204
Total;;;;Albacete;Turistas;2024M07;20.315
Total;;;;Albacete;Turistas;2024M06;18.676
Total;;;;Albacete;Turistas;2024M05;19.474
Total;;;;Albacete;Turistas;2024M04;16.775
Total;;;;Albacete;Turistas;2024M03;15.487
Total;;;;Albacete;Turistas;2024M02;13.079
Total;;;;Albacete;Turistas;2024M01;11.636
Total;;;;Albacete;Turistas;2023M12;15.085
Total;;;;Albacete;Turistas;2023M11;12.833
Total;;;;Albacete;Turistas;2023M10;17.009
Total;;;;Albacete;Turistas;2023M09;17.104
Total;;;;Albacete;Turistas;2023M08;21.226
Total;;;;Albacete;Turistas;2023M07;18.086
Total;;;;Albacete;Turistas;2023M06;13.538
Total;;;;Albacete;Turistas;2023M05;14.187
Total;;;;Albacete;Turistas;2023M04;13.592
Total;;;;Albacete;Turistas;2023M03;11.884
Total;;;;Albacete;Turistas;2023M02;10.400
Total;;;;Albacete;Turistas;2023M01;10.822
Total;;;;Albacete;Turistas;2022M12;11.727
Total;;;;Albacete;Turistas;2022M11;10.788
Total;;;;Albacete;Turistas;2022M10;12.082
Total;;;;Albacete;Turistas;2022M09;12.580
Total;;;;Albacete;Turistas;2022M08;14.383
Total;;;;Albacete;Turistas;2022M07;13.917
Total;;;;Albacete;Turistas;2022M06;12.260
