Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;;;;Viviendas turísticas;2025M11;329.764
Total Nacional;;;;Viviendas turísticas;2025M05;381.837
Total Nacional;;;;Viviendas turísticas;2024M11;376.463
Total Nacional;;;;Viviendas turísticas;2024M08;403.267
Total Nacional;;;;Viviendas turísticas;2024M02;351.389
Total Nacional;;;;Viviendas turísticas;2023M08;340.424
Total Nacional;;;;Viviendas turísticas;2023M02;305.136
Total Nacional;;;;Viviendas turísticas;2022M08;311.518
Total Nacional;;;;Viviendas turísticas;2022M02;285.868
Total Nacional;;;;Viviendas turísticas;2021M08;306.974
Total Nacional;;;;Viviendas turísticas;2021M02;294.698
Total Nacional;;;;Viviendas turísticas;2020M08;321.496
Total Nacional;01 Andalucía;;;Viviendas turísticas;2025M11;91.757
Total Nacional;01 Andalucía;;;Viviendas turísticas;2025M05;96.176
Total Nacional;01 Andalucía;;;Viviendas turísticas;2024M11;90.363
Total Nacional;01 Andalucía;;;Viviendas turísticas;2024M08;94.905
Total Nacional;01 Andalucía;;;Viviendas turísticas;2024M02;82.454
Total Nacional;01 Andalucía;;;Viviendas turísticas;2023M08;79.065
Total Nacional;01 Andalucía;;;Viviendas turísticas;2023M02;70.194
Total Nacional;01 Andalucía;;;Viviendas turísticas;2022M08;70.123
Total Nacional;01 Andalucía;;;Viviendas turísticas;2022M02;60.813
Total Nacional;01 Andalucía;;;Viviendas turísticas;2021M08;63.179
Total Nacional;01 Andalucía;;;Viviendas turísticas;2021M02;61.574
Total Nacional;01 Andalucía;;;Viviendas turísticas;2020M08;67.392
Total Nacional;01 Andalucía;04 Almería;;Viviendas turísticas;2025M11;6.368
Total Nacional;01 Andalucía;04 Almería;;Viviendas turísticas;2025M05;7.266
Total Nacional;01 Andalucía;04 Almería;;Viviendas turísticas;2024M11;6.890
Total Nacional;01 Andalucía;04 Almería;;Viviendas turísticas;2024M08;7.198
