Periodo,Tipo de vivienda,TOTAL NACIONAL,Andalucía,Aragón,Asturias,Illes Balears,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña,Comunitat Valenciana,Extremadura,Galicia,Comunidad de Madrid,Región de Murcia,Comunidad Foral de Navarra,País Vasco,La Rioja,Ceuta y Melilla
2015,Total,25.906.114,4.500.790,809.246,642.371,613.782,1.060.907,370.772,1.775.614,1.296.828,3.889.994,3.205.536,673.971,1.676.065,2.951.813,809.551,320.078,1.048.853,204.850,55.093
2015,Principales,18.267.699,3.159.377,539.469,454.226,435.097,803.576,236.673,1.028.516,793.148,2.969.033,1.984.183,430.252,1.072.506,2.503.087,518.735,252.088,907.164,129.984,50.585
2015,No principales,7.638.415,1.341.413,269.777,188.145,178.685,257.331,134.099,747.098,503.680,920.961,1.221.353,243.719,603.559,448.726,290.816,67.990,141.689,74.866,4.508
2016,Total,26.033.976,4.529.646,815.397,647.769,619.819,1.064.847,373.340,1.786.014,1.306.654,3.894.551,3.221.026,678.619,1.691.128,2.952.839,815.940,321.488,1.053.521,206.098,55.280
2016,Principales,18.347.265,3.180.810,539.619,452.694,436.385,806.923,236.985,1.035.343,796.314,2.973.097,2.003.746,431.073,1.076.212,2.511.767,520.342,252.937,911.931,130.436,50.651
2016,No principales,7.686.711,1.348.836,275.778,195.075,183.434,257.924,136.355,750.671,510.340,921.454,1.217.280,247.546,614.916,441.072,295.598,68.551,141.590,75.662,4.629
2017,Total,26.170.704,4.562.023,821.645,654.060,626.619,1.070.398,375.873,1.796.259,1.316.738,3.899.335,3.235.271,683.391,1.707.258,2.953.865,822.521,323.342,1.058.472,207.369,56.265
2017,Principales,18.373.393,3.198.643,539.769,451.162,437.673,810.270,237.297,1.028.383,797.350,2.977.161,1.996.521,431.894,1.079.918,2.520.447,520.657,253.786,910.857,130.888,50.717
2017,No principales,7.797.311,1.363.380,281.876,202.898,188.946,260.128,138.576,767.876,519.388,922.174,1.238.750,251.497,627.340,433.418,301.864,69.556,147.615,76.481,5.548
2018,Total,26.314.435,4.595.734,829.024,659.795,633.341,1.077.184,378.260,1.806.963,1.327.113,3.903.942,3.251.527,688.439,1.723.646,2.954.891,829.403,325.562,1.064.079,208.870,56.662
2018,Principales,18.423.609,3.210.097,539.919,449.630,438.961,813.617,237.609,1.030.463,795.322,2.981.225,2.003.696,432.715,1.083.624,2.529.127,523.837,254.635,917.009,131.340,50.783
2018,No principales,7.890.826,1.385.637,289.105,210.165,194.380,263.567,140.651,776.500,531.791,922.717,1.247.831,255.724,640.022,425.764,305.566,70.927,147.070,77.530,5.879
2019,Total,26.463.070,4.631.461,835.367,666.673,641.648,1.084.051,380.849,1.818.161,1.337.176,3.909.117,3.266.765,693.501,1.740.695,2.955.917,836.250,328.100,1.069.989,210.249,57.101
2019,Principales,18.466.644,3.219.441,540.069,448.098,440.249,816.964,237.921,1.024.047,796.624,2.985.289,2.015.270,433.536,1.087.330,2.537.807,529.988,255.484,915.886,131.792,50.849
2019,No principales,7.996.426,1.412.020,295.298,218.575,201.399,267.087,142.928,794.114,540.552,923.828,1.251.495,259.965,653.365,418.110,306.262,72.616,154.103,78.457,6.252
2020,Total,26.623.708,4.673.007,841.353,674.342,652.123,1.088.700,383.642,1.829.895,1.347.273,3.915.127,3.285.786,698.505,1.757.739,2.956.941,844.100,331.104,1.075.076,211.333,57.662
2020,Principales,18.536.616,3.241.130,540.225,446.569,441.536,820.315,238.230,1.025.679,799.695,2.989.357,2.022.501,434.364,1.091.041,2.546.489,540.497,256.330,919.503,132.241,50.914
2020,No principales,8.087.092,1.431.877,301.128,227.773,210.587,268.385,145.412,804.216,547.578,925.770,1.263.285,264.141,666.698,410.452,303.603,74.774,155.573,79.092,6.748
2021,Total,26.719.905,4.689.945,843.905,676.211,655.054,1.091.629,384.736,1.833.922,1.350.785,3.928.563,3.296.453,700.249,1.760.300,2.978.702,845.876,333.665,1.079.703,212.224,57.983
2021,Principales,18.661.493,3.262.354,541.029,445.772,447.228,830.094,238.533,1.027.557,806.848,2.993.887,2.045.971,436.472,1.097.036,2.562.887,550.697,258.283,933.990,131.871,50.984
2021,No principales,8.058.412,1.427.591,302.876,230.439,207.826,261.535,146.203,806.365,543.937,934.676,1.250.482,263.777,663.264,415.815,295.179,75.382,145.713,80.353,6.999
