Periodo,Tipo de vivienda,TOTAL NACIONAL,Andalucía,Almería           ,Cádiz             ,Córdoba           ,Granada           ,Huelva            ,Jaén              ,Málaga            ,Sevilla           ,Aragón,Huesca            ,Teruel            ,Zaragoza          ,Asturias (Ppdo. de ),Balears (Illes),Canarias,Palmas (Las)      ,Santa Cruz de Tenerife,Cantabria,Castilla y León,Avila             ,Burgos            ,León              ,Palencia          ,Salamanca         ,Segovia           ,Soria             ,Valladolid        ,Zamora            ,Castilla-La Mancha,Albacete          ,Ciudad Real       ,Cuenca            ,Guadalajara       ,Toledo            ,Cataluña,Barcelona,Girona,Lleida,Tarragona,Comunitat Valenciana,Alicante/Alacant,Castellón/Castelló,Valencia/València,Extremadura,Badajoz           ,Cáceres           ,Galicia,Coruña (A),Lugo,Ourense,Pontevedra,Madrid (Comunidad de),Murcia (Región de),Navarra (Comunidad Foral de),País Vasco,Araba/Alava,Gipuzkoa,Bizkaia,Rioja (La),Ceuta y Melilla
2015,Total,25.906.114,4.500.790,412.066,632.470,405.473,550.605,302.953,358.849,939.389,898.985,809.246,163.480,118.809,526.957,642.371,613.782,1.060.907,539.920,520.987,370.772,1.775.614,168.065,264.107,339.462,114.829,241.971,126.851,80.646,292.379,147.304,1.296.828,227.808,299.326,161.664,180.556,427.474,3.889.994,2.601.430,498.077,250.541,539.946,3.205.536,1.303.046,432.707,1.469.783,673.971,385.287,288.684,1.676.065,666.314,244.370,258.158,507.223,2.951.813,809.551,320.078,1.048.853,163.377,339.473,546.003,204.850,55.093
2015,Principales,18.267.699,3.159.377,259.087,458.424,296.832,358.366,199.350,245.541,631.364,710.413,539.469,88.874,55.546,395.049,454.226,435.097,803.576,413.997,389.579,236.673,1.028.516,68.569,151.084,201.899,68.892,141.957,64.030,37.871,216.368,77.846,793.148,148.743,195.646,82.108,100.890,265.761,2.969.033,2.183.982,294.596,171.885,318.570,1.984.183,724.348,235.962,1.023.873,430.252,264.299,165.953,1.072.506,445.710,136.485,134.338,355.973,2.503.087,518.735,252.088,907.164,137.328,292.096,477.740,129.984,50.585
2015,No principales,7.638.415,1.341.413,152.979,174.046,108.641,192.239,103.603,113.308,308.025,188.572,269.777,74.606,63.263,131.908,188.145,178.685,257.331,125.923,131.408,134.099,747.098,99.496,113.023,137.563,45.937,100.014,62.821,42.775,76.011,69.458,503.680,79.065,103.680,79.556,79.666,161.713,920.961,417.448,203.481,78.656,221.376,1.221.353,578.698,196.745,445.910,243.719,120.988,122.731,603.559,220.604,107.885,123.820,151.250,448.726,290.816,67.990,141.689,26.049,47.377,68.263,74.866,4.508
2016,Total,26.033.976,4.529.646,415.951,635.370,406.773,554.777,306.651,361.720,948.118,900.286,815.397,165.145,120.210,530.042,647.769,619.819,1.064.847,541.663,523.184,373.340,1.786.014,168.885,266.208,342.375,115.128,242.761,127.087,81.420,293.079,149.071,1.306.654,230.128,302.234,162.490,181.872,429.930,3.894.551,2.600.554,499.679,251.379,542.939,3.221.026,1.311.715,435.303,1.474.008,678.619,387.699,290.920,1.691.128,669.937,249.109,261.050,511.032,2.952.839,815.940,321.488,1.053.521,164.126,341.258,548.137,206.098,55.280
2016,Principales,18.347.265,3.180.810,264.279,460.435,297.334,360.290,202.640,245.666,637.159,713.007,539.619,89.148,55.361,395.110,452.694,436.385,806.923,415.775,391.148,236.985,1.035.343,70.985,156.547,201.229,68.784,142.212,63.894,37.891,216.318,77.483,796.314,149.242,195.293,81.867,101.574,268.338,2.973.097,2.186.751,295.462,171.460,319.424,2.003.746,742.198,236.435,1.025.113,431.073,264.670,166.403,1.076.212,447.237,136.699,134.196,358.080,2.511.767,520.342,252.937,911.931,137.906,293.359,480.666,130.436,50.651
2016,No principales,7.686.711,1.348.836,151.672,174.935,109.439,194.487,104.011,116.054,310.959,187.279,275.778,75.997,64.849,134.932,195.075,183.434,257.924,125.888,132.036,136.355,750.671,97.900,109.661,141.146,46.344,100.549,63.193,43.529,76.761,71.588,510.340,80.886,106.941,80.623,80.298,161.592,921.454,413.803,204.217,79.919,223.515,1.217.280,569.517,198.868,448.895,247.546,123.029,124.517,614.916,222.700,112.410,126.854,152.952,441.072,295.598,68.551,141.590,26.220,47.899,67.471,75.662,4.629
2017,Total,26.170.704,4.562.023,420.014,637.877,408.647,559.983,309.807,364.624,958.843,902.228,821.645,166.847,121.534,533.264,654.060,626.619,1.070.398,544.099,526.299,375.873,1.796.259,169.650,268.286,345.306,115.419,243.529,127.405,82.060,293.801,150.803,1.316.738,232.894,305.111,163.284,183.203,432.246,3.899.335,2.599.678,501.577,252.395,545.685,3.235.271,1.320.690,438.033,1.476.548,683.391,390.244,293.147,1.707.258,673.954,253.938,263.983,515.383,2.953.865,822.521,323.342,1.058.472,164.898,343.944,549.630,207.369,56.265
2017,Principales,18.373.393,3.198.643,269.919,462.446,297.836,362.214,201.882,245.791,642.954,715.601,539.769,89.422,55.176,395.171,451.162,437.673,810.270,417.553,392.717,237.297,1.028.383,69.929,151.695,200.559,68.676,142.467,63.758,37.911,216.268,77.120,797.350,149.741,194.940,81.626,102.258,268.785,2.977.161,2.189.520,296.328,171.035,320.278,1.996.521,733.260,236.908,1.026.353,431.894,265.041,166.853,1.079.918,448.764,136.913,134.054,360.187,2.520.447,520.657,253.786,910.857,138.484,294.622,477.751,130.888,50.717
2017,No principales,7.797.311,1.363.380,150.095,175.431,110.811,197.769,107.925,118.833,315.889,186.627,281.876,77.425,66.358,138.093,202.898,188.946,260.128,126.546,133.582,138.576,767.876,99.721,116.591,144.747,46.743,101.062,63.647,44.149,77.533,73.683,519.388,83.153,110.171,81.658,80.945,163.461,922.174,410.158,205.249,81.360,225.407,1.238.750,587.430,201.125,450.195,251.497,125.203,126.294,627.340,225.190,117.025,129.929,155.196,433.418,301.864,69.556,147.615,26.414,49.322,71.879,76.481,5.548
2018,Total,26.314.435,4.595.734,424.592,640.788,410.198,564.550,313.118,367.683,969.830,904.975,829.024,168.427,122.876,537.721,659.795,633.341,1.077.184,547.087,530.097,378.260,1.806.963,170.406,270.541,348.268,115.708,244.376,127.675,82.958,294.538,152.493,1.327.113,235.564,307.959,164.199,184.749,434.642,3.903.942,2.598.802,503.379,253.295,548.466,3.251.527,1.331.379,440.779,1.479.369,688.439,392.978,295.461,1.723.646,678.224,258.902,266.924,519.596,2.954.891,829.403,325.562,1.064.079,165.920,346.089,552.070,208.870,56.662
